Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Greens,7.0,10.9812530445,1121.96780955,Environment,3.66041768149,No,306.513602321,Yes,Male,After_16:00,0.923748882953,0.363593955524,9.34074463556,5.60142614879,1.01322572911,6.27742702607,6128.0,3.29081579112,504.853646723,4074.84331665,60740.9278409,No,93950.5884075,22.4689485006,250.066527247,53.2730638748,27.0590752844,90.0,Below_30,2.0,814.191487145,13.0,Motorcycle_or_truck,Student_or_Unemployed,658.343689725,0.0,No
Browns,3.0,443.177670837,43612.8313661,Social,147.725890279,No,295.228082794,Yes,Male,After_16:00,0.226435549324,0.210777596105,9.66804338386,3.64328847965,3.65243140841,2.13567858795,7791.0,53.0404659454,376.057950185,3704.39672831,44451.7933524,No,87159.6208704,19.3922136484,256.992883756,55.075665121,21980.664549,70.0,Below_30,1.0,571.198440187,6.0,Foot_or_bicycle,Student_or_Unemployed,406.446953482,0.0,No
Greens,5.0,198.963449193,18453.9387972,Healthcare,66.3211497309,No,278.251189433,Yes,Female,By_16:00,0.436301318929,0.983914628625,8.05346498732,9.81972114882,6.35159583762,9.66408482287,8350.0,34.7431111149,470.79369138,3724.09927709,,No,77423.7244207,21.6977807939,261.59585496,71.0565634305,4474.81605135,80.0,30-45,4.0,769.375360655,11.0,Motorcycle_or_truck,Industry_or_other,635.67183894,0.0,Yes
Purples,9.0,994.857834903,117525.042913,Education,331.619278301,No,354.397499191,Yes,Male,By_16:00,0.518907846883,0.877700121375,6.92377482308,6.54981086962,7.38161141751,9.73697462119,8245.0,27.2476217244,423.672866189,4391.32072429,51393.1316518,No,125597.587433,20.583315238,164.399344529,15.9728798084,110312.965019,100.0,Below_30,1.0,666.191957108,14.0,Public_or_other,Services_or_Retail,498.893255239,2.0,No
Pinks,10.0,594.356586549,135408.509362,Financial,198.118862183,No,683.471063127,No,Male,By_16:00,0.871505936841,0.593694478972,3.79815770313,9.66495214496,4.03258669656,8.98204618134,3820.0,38.4050512919,622.199832672,8079.11029662,72584.3804995,No,467132.694132,24.943933785,220.854735473,90.1142735267,39459.2024149,60.0,Below_30,0.0,871.574473381,7.0,Foot_or_bicycle,Student_or_Unemployed,486.495035328,4.0,Yes
Browns,9.0,154.287848728,26801.9374375,Financial,51.4292829093,No,521.141573854,No,Female,By_16:00,0.50144860195,0.547089665197,3.40601980453,7.48822676716,8.72281451942,4.34613756603,7536.0,79.8246996477,467.541185683,6146.49810991,57586.799428,No,271588.539999,21.6227007028,39.4845725186,40.2972695883,2706.40042348,60.0,Below_30,2.0,719.077264018,6.0,Motorcycle_or_truck,Public_Sector,492.352079036,0.0,
Yellows,2.0,1217.49770618,219673.438568,Healthcare,405.832568728,Yes,541.290806838,No,Male,By_16:00,0.295681216288,0.270618288545,0.37953840103,0.100690783001,4.48119392619,6.41873796238,7008.0,67.293761787,338.151617914,6089.21130421,44555.8307309,Yes,292995.737568,18.3888993122,217.33809949,94.3404550897,165115.906409,80.0,30-45,2.0,538.938527708,13.0,Car,Public_Sector,360.945981803,0.0,No
Oranges,5.0,108.877257056,17433.1814165,Military,36.2924190186,No,480.35324974,Yes,Female,By_16:00,0.329378066584,0.340409199474,6.06642296305,8.80395139335,8.99733980885,8.5371343419,,46.9782051863,331.476962952,5466.4864233,45643.8872433,Maybe,230739.244536,18.2065088073,171.282804751,52.8987336438,1363.43209724,30.0,45_and_up,3.0,584.619482101,7.0,Motorcycle_or_truck,Industry_or_other,476.50978094,0.0,Yes
Oranges,6.0,923.013453014,157047.81596,Military,307.671151005,No,510.440499369,,Male,After_16:00,0.287881870754,0.0173599591944,9.88897722447,4.26585784648,3.44291105401,5.65970713971,8795.0,26.455949666,339.107282491,5782.61955867,46110.7551914,Maybe,260549.503396,18.4148658016,169.400053496,1.72282352578,94979.2083115,30.0,Below_30,2.0,580.255475981,7.0,Foot_or_bicycle,Student_or_Unemployed,448.029743605,0.0,No
Greys,2.0,469.440047266,66650.4586648,Military,156.480015755,No,425.935914839,Yes,Female,By_16:00,0.488430262543,0.552483231993,4.72738503013,2.3072107695,0.880066878162,7.22545092227,8392.0,39.3024709309,533.238561889,5325.83627217,59996.1246262,Maybe,181421.40355,23.0919588145,101.56727611,90.1119092247,24652.4753465,30.0,30-45,2.0,741.989365072,8.0,Car,Student_or_Unemployed,438.962135775,2.0,No
Greys,3.0,505.572187177,73719.4594021,Military,168.524062392,No,437.441741883,Yes,Male,By_16:00,0.313580297399,0.774871457368,7.24586774362,6.22423299355,3.60181511613,6.71395963524,3087.0,35.8301464934,497.713296177,5369.84401119,55832.1198904,Maybe,191355.277542,22.3094889268,141.607811751,90.1031392626,28578.8836676,30.0,30-45,2.0,678.176283883,6.0,Public_or_other,Public_Sector,372.98028627,1.0,No
Browns,4.0,475.953553579,83093.3330739,Social,158.651184526,No,523.748582918,No,Female,By_16:00,0.536803644383,0.796338954708,8.69302750565,8.46551369876,0.93634288758,2.58166758809,8625.0,42.6209526835,461.756699887,6160.99922895,56330.4343389,No,274312.578108,21.488524842,63.0043166573,25.0979909208,25338.8495362,70.0,30-45,0.0,695.91615859,7.0,Motorcycle_or_truck,Services_or_Retail,455.920540801,0.0,Yes
Browns,10.0,43.642445533,6878.11469215,Environment,14.5474818443,No,472.80448711,Yes,Female,By_16:00,0.225366653176,0.230490356218,9.98703243211,6.46330046467,9.94715447072,6.21421299409,6671.0,20.2498013619,,5589.91466357,52420.7764417,No,223544.083031,20.7589714639,101.482881887,17.9287065286,236.176709856,90.0,30-45,3.0,,8.0,Foot_or_bicycle,Public_Sector,430.796020079,3.0,No
Blues,3.0,1072.76773945,219152.37085,Healthcare,357.589246485,Yes,612.860629911,No,Male,After_16:00,0.0806071562693,0.722140387166,6.11632256769,5.99250824656,1.96310528554,3.04908414371,8756.0,12.2137139551,110.982978615,6350.57225634,26675.1983289,Yes,375598.151694,10.5348459227,442.935367042,95.3155747382,128237.658448,80.0,45_and_up,2.0,321.560511815,13.0,Foot_or_bicycle,Public_Sector,320.779536141,0.0,Yes
Greys,7.0,403.073613376,53853.0304357,Foreign_Affairs,134.357871125,No,400.817830653,Yes,Female,By_16:00,0.731647889595,0.38440160919,0.178250430617,2.79687322443,5.21569748176,7.819029612,4565.0,68.5618353775,458.783526603,4925.74535974,52313.6420365,Maybe,160654.93337,21.4192326334,159.20640454,59.8687659483,18196.3954045,40.0,30-45,2.0,644.227321945,7.0,Public_or_other,Services_or_Retail,382.480729874,1.0,Yes
Pinks,2.0,293.747904225,26697.2746911,Education,97.9159680749,,272.654963393,Yes,Female,After_16:00,0.0210957420059,0.00982511602342,8.31817828119,1.83865707135,9.86835647142,7.67598631326,5567.0,43.9550346462,327.441023996,3381.43168192,40174.4124982,No,74340.7290629,18.0953315525,300.415414738,97.0701790415,9695.45277213,100.0,30-45,3.0,525.092770128,11.0,Motorcycle_or_truck,Industry_or_other,406.260704384,0.0,No
Pinks,2.0,358.823231038,85672.1841339,Environment,119.607743679,No,716.276233448,No,Female,After_16:00,0.778190423967,0.671108289855,8.14359159907,5.32721950673,4.61329878541,5.75497863581,6862.0,18.1571702706,676.908826674,8516.57998783,78547.4810865,No,513051.642603,26.0174715657,281.152773502,27.0811849739,14435.6200917,90.0,Below_30,3.0,946.455980047,10.0,Car,Hightech,531.220825391,0.0,No
Greens,10.0,639.804878562,62630.2400563,Environment,213.268292854,No,293.668783194,Yes,Female,By_16:00,0.691430185921,0.125905393157,2.01088999864,1.44230715465,5.57292971062,8.53872570209,6509.0,95.5442720791,,3927.92541406,59494.3893679,No,86241.3542227,22.2624974129,252.662244227,89.301687968,45706.6330297,90.0,Below_30,2.0,798.304589593,15.0,Foot_or_bicycle,Services_or_Retail,645.761598638,2.0,Yes
Greys,2.0,254.145363448,37674.228091,Foreign_Affairs,84.7151211492,No,444.716687882,Yes,Female,By_16:00,0.509546599351,0.239671113901,0.380342821591,2.92396479752,0.653398223221,6.27881353954,4918.0,96.3707346702,408.231799001,5263.63047682,48815.9264133,Maybe,197772.932481,20.2047469423,165.54846828,92.7432495868,7271.36687248,40.0,45_and_up,0.0,598.775913959,8.0,Motorcycle_or_truck,Services_or_Retail,373.79125214,0.0,No
Oranges,6.0,996.452136245,118459.784378,Other,332.150712082,No,356.644679868,Yes,Male,After_16:00,0.51156359911,0.328906849492,7.20834964886,6.75146420952,2.23214174388,9.52329425141,3021.0,19.6889583254,386.515820236,4339.47843915,48849.8272527,Maybe,127195.427678,19.6600056011,183.526786858,58.2312128041,110666.246248,50.0,30-45,3.0,641.476577418,7.0,Public_or_other,Public_Sector,515.895742439,,No
Greens,5.0,168.294451534,15141.9668481,Social,56.0981505113,No,269.919181116,Yes,Male,After_16:00,0.481586431619,0.571764752269,3.44595949631,2.82144121826,1.45359106129,6.42873421544,4656.0,8.63281481434,515.065925532,3729.32366222,60136.338544,No,72856.3643343,22.6950639024,261.605121137,61.4260382485,3213.1006413,70.0,45_and_up,4.0,802.343390709,11.0,Public_or_other,Services_or_Retail,623.584279238,0.0,Yes
Greys,2.0,533.824968611,73090.7523929,Foreign_Affairs,177.941656204,No,410.756839923,Yes,Male,By_16:00,0.360815597698,0.978111200733,7.39970782539,9.43508474855,0.973958033137,4.48850596324,8177.0,68.4972186806,444.913109801,4997.39461883,51360.7056259,Maybe,168721.181544,21.0929635139,157.909213572,5.90182812884,31851.1746687,40.0,30-45,3.0,632.471190708,10.0,Car,Student_or_Unemployed,381.94741579,1.0,Yes
Browns,2.0,634.821135859,71724.2938581,Financial,211.607045286,No,338.950405744,Yes,Female,By_16:00,0.452748100972,0.46339255874,1.57425277866,8.86680364143,3.8220918295,6.68144281721,6081.0,16.4903273806,371.210970539,4131.92599851,44740.2359981,No,114887.377554,19.2668360282,227.661921954,36.3492525881,44999.1486601,60.0,Below_30,3.0,569.750163132,6.0,Car,Public_Sector,403.530498145,0.0,Yes
Greens,10.0,88.3687515587,8234.11148207,Education,29.4562505196,No,279.536985761,Yes,Female,By_16:00,0.684604972135,0.576350587653,8.6297637783,5.43345890241,9.9795615836,5.94865444582,6752.0,16.4107286604,485.252808704,3765.87547502,57764.2304134,No,78140.9264085,22.0284545237,250.038684723,11.7001109291,907.126945191,100.0,30-45,2.0,773.200290738,16.0,Foot_or_bicycle,Public_Sector,617.038128657,1.0,No
Purples,3.0,435.884241337,67396.2860126,Social,145.294747112,No,463.859068218,Yes,Male,By_16:00,0.264369466109,0.253872800618,9.079622766,7.87309939042,8.96463625832,0.0619119801559,9292.0,69.0836100839,421.785776452,5482.16223509,55871.6363039,No,215165.235168,20.5374238027,147.134462509,25.8583659539,21265.8582856,70.0,Below_30,3.0,735.627236674,10.0,Car,Student_or_Unemployed,619.268262092,0.0,Yes
Purples,10.0,51.2392430294,9021.21428557,Financial,17.0797476765,No,528.181941352,No,Male,By_16:00,0.47861460573,0.573051369749,3.73915181961,9.97364140581,6.06236399151,2.82688442152,4701.0,72.7843992179,479.205181477,6240.22977648,61756.0376337,No,278976.163171,21.8907556168,,73.9105133107,318.797528369,60.0,45_and_up,0.0,798.02742513,11.0,Car,Student_or_Unemployed,627.849135332,0.0,Yes
Yellows,6.0,-123.064345812,-6955.31844611,,-41.0214486039,Yes,169.553213814,Yes,Male,By_16:00,0.986294427188,0.37972139311,4.74003828363,5.18150926335,2.0595158753,1.44321694039,5347.0,83.6350948084,267.529379942,2230.59089803,31796.6967338,Yes,28748.2923148,16.3563253802,439.662474045,76.4103700407,1651.73779696,70.0,45_and_up,1.0,421.034843843,11.0,Public_or_other,Services_or_Retail,326.606161029,1.0,Yes
Oranges,8.0,128.493696252,17146.0038838,Military,42.8312320839,No,400.315448554,Yes,Male,After_16:00,0.394549472956,0.250264212256,0.311832276639,9.93617763976,3.60032952158,6.4857325051,5888.0,86.6917619482,478.211493127,4959.5774718,57968.3261608,Maybe,160252.458351,21.8680473094,118.949204421,59.3607915565,1887.34567391,30.0,45_and_up,4.0,750.988064436,9.0,Motorcycle_or_truck,Public_Sector,561.132351532,0.0,No
Greys,4.0,919.337523553,123709.385291,Military,306.445841184,No,403.690860391,Yes,Female,By_16:00,0.647420702968,0.0211702198721,3.34437642712,8.73017060105,4.08889167476,6.95054804208,5726.0,29.9776737578,,4916.79230176,51547.8863932,,162966.310763,20.9747907958,143.252359856,62.955212919,94225.4994203,30.0,Below_30,1.0,642.61661643,8.0,Car,Public_Sector,412.599732714,1.0,Yes
Pinks,1.0,867.061166687,204019.392541,Healthcare,289.020388896,No,705.899654071,No,Female,After_16:00,0.508076432161,0.353135673562,2.26341822883,3.99643850047,7.54712911788,4.5104992413,8611.0,23.53839227,664.4275706,8387.85168191,76548.5757087,No,498294.321618,25.7764925969,263.538048814,91.2294948706,83831.8055862,80.0,30-45,2.0,916.272082023,9.0,Motorcycle_or_truck,Public_Sector,495.394606152,2.0,No
Pinks,6.0,498.536354806,120910.413328,Financial,166.178784935,No,727.592354071,No,Female,After_16:00,0.0490143648349,0.256725176703,4.72378051607,9.68072674936,3.0034275027,2.97360087046,9375.0,10.9803291736,664.488932801,8604.90140631,76837.1336474,No,529390.633703,25.7776828439,280.933956062,80.6313612033,27791.5673475,60.0,30-45,1.0,916.645992408,7.0,Foot_or_bicycle,Student_or_Unemployed,491.69343496,0.0,No
Browns,6.0,343.923572788,35969.7400432,Social,114.641190929,No,313.759301972,Yes,Male,After_16:00,0.499516597483,0.0267110769637,5.76265154406,4.26413922105,1.28993604332,5.609672789,9425.0,4.31610674132,385.857592297,3909.30820431,44947.9774774,No,98444.8995738,19.6432581894,249.112723213,63.2452091202,13267.2438486,70.0,45_and_up,4.0,568.766501529,6.0,Public_or_other,Services_or_Retail,380.237476529,0.0,No
Browns,5.0,101.716822177,10922.3641209,Financial,33.9056073923,No,322.140346714,Yes,Male,By_16:00,0.437680474482,0.523495862493,5.40063464781,4.68805729877,6.76504278323,7.0725382166,4992.0,97.6216205861,387.785197676,3996.97386249,45305.8656755,No,103774.402981,19.6922623809,240.705203594,90.7391388435,1193.49582003,60.0,Below_30,4.0,572.66992926,6.0,Car,Industry_or_other,382.898433359,0.0,Yes
Pinks,5.0,235.245000952,52149.7404561,Education,78.4150003174,No,665.048016898,No,Female,By_16:00,0.0066628085915,0.815878516994,5.94195876503,1.05356609216,9.09418979893,9.33869007044,6066.0,32.8171705361,634.287406581,7919.05498214,73099.1794732,No,442288.864779,25.1850631641,213.672934242,24.7061170405,6237.3272751,100.0,45_and_up,0.0,877.588916731,9.0,Public_or_other,Industry_or_other,480.450898236,1.0,No
Pinks,10.0,287.453818232,63637.3314477,Education,95.8179394108,No,664.148403097,No,Male,After_16:00,0.302298698341,0.969202063978,2.40751190344,9.54573990544,6.13370997133,7.75356868282,8733.0,19.8807101697,632.210507895,7905.90504676,72755.6842751,No,441093.101337,25.1437966086,212.441985658,90.4831892112,9286.89545234,100.0,30-45,3.0,872.106923304,11.0,Motorcycle_or_truck,Services_or_Retail,473.405251778,0.0,No
Purples,4.0,262.111115678,34637.8425401,Education,87.3703718926,No,396.448381639,Yes,Male,By_16:00,0.32777633681,0.800559957745,5.05858685588,3.14839136321,2.39488200983,0.431867069565,3734.0,84.7892786143,337.147068398,4638.77795319,47369.6519405,No,157171.319304,18.3615649768,214.591480458,20.4484698363,7730.95225655,100.0,45_and_up,2.0,639.995981913,16.0,Motorcycle_or_truck,Services_or_Retail,593.83756438,0.0,No
Purples,1.0,230.149466875,30599.4721732,Environment,76.7164889584,No,398.864345705,Yes,Female,By_16:00,0.534250258934,0.356072453083,9.15019496577,4.77201377042,0.23774456,7.2018929664,8288.0,42.2970608575,375.091639439,4738.82673593,49778.7153076,No,159092.766275,19.3672827066,173.295109298,76.3878244208,5972.13616706,90.0,Below_30,1.0,659.875220403,12.0,Motorcycle_or_truck,Public_Sector,564.812620675,0.0,No
Purples,5.0,241.205146446,34349.1061766,Environment,80.4017154818,No,427.218573269,Yes,Female,By_16:00,0.217118508415,0.47552066925,2.78651461704,7.25242158165,5.08301659254,5.67443969194,8246.0,13.313146797,372.893348158,5017.97242901,49831.7216099,No,182515.709346,19.3104466069,156.039490867,90.1861385209,6554.8375679,90.0,45_and_up,2.0,655.228870923,15.0,Motorcycle_or_truck,Hightech,553.806000508,0.0,No
Greens,10.0,446.596344975,44141.0525204,Financial,148.865448325,No,296.516438281,Yes,Female,After_16:00,0.0148792485707,0.0712547756266,0.892936831806,8.75855742255,0.878900524694,9.65913631022,3565.0,60.8215562766,512.718095032,3990.60057287,61383.0981101,No,87921.9981708,22.6432792464,263.101845846,21.6312054312,22319.7871533,60.0,Below_30,3.0,824.247300155,8.0,Motorcycle_or_truck,Public_Sector,666.298741595,1.0,Yes
Greens,8.0,705.00658134,61852.5374272,Social,235.00219378,No,263.199829892,Yes,Male,After_16:00,0.885283472715,0.405784274917,8.83836692432,4.8435361078,6.85397543944,0.531989128795,4451.0,6.28473532852,494.85190116,3621.70210124,59276.747989,No,69274.1504553,22.2452669384,286.668525641,58.4201705642,55471.0332752,70.0,Below_30,1.0,802.430145948,10.0,Motorcycle_or_truck,Hightech,661.48690383,0.0,Yes
Blues,9.0,2114.40434108,91512.9753063,Education,704.801447026,Yes,129.842206897,Yes,Male,By_16:00,0.792963831918,0.537074145628,3.11078052036,5.30380464625,8.50085202139,2.39981045946,5823.0,67.592243338,172.681009146,1643.78408727,28085.8076405,Yes,16858.998692,13.1408146302,494.72805589,94.7491629282,497459.881177,100.0,Below_30,1.0,430.658202651,15.0,Public_or_other,Hightech,524.522147459,0.0,Yes
Blues,8.0,1034.36385775,141106.856057,Healthcare,344.787952585,Yes,409.256921534,Yes,Male,After_16:00,0.831174833467,0.637840800686,6.64448916679,9.46292214561,8.80541000748,7.37336550141,3785.0,79.2784200981,647.121173694,5386.81156273,68626.2532309,Yes,167491.227823,25.4385764872,186.341504925,70.0889827451,119233.5202,80.0,Below_30,0.0,838.534567376,13.0,Public_or_other,Hightech,430.399637795,0.0,No
Browns,1.0,551.363908795,59394.5363598,Financial,183.787969598,No,323.168793309,Yes,Male,After_16:00,0.366829872131,0.11210500123,9.99362687347,2.06091475673,9.82700447319,6.60698573105,6951.0,77.5910863187,380.931560359,3993.55105381,45104.8655786,No,104438.068969,19.5174680827,236.657182596,55.6696790736,33971.8057387,60.0,30-45,3.0,573.774224167,5.0,Public_or_other,Public_Sector,397.237881027,1.0,No
Blues,2.0,1816.53247664,119236.752328,Education,605.510825545,Yes,196.919274268,Yes,Female,By_16:00,0.928920270642,0.27404941665,5.98808012437,6.54897663277,7.83924121875,2.96889041783,8303.0,38.3988731774,1.58987560007,1972.37249388,3730.01238848,Yes,38777.2005783,1.26090269254,761.116460207,79.3980870862,367258.870678,100.0,Below_30,0.0,26.6705258564,13.0,Foot_or_bicycle,Public_Sector,11.0954207792,0.0,No
Browns,4.0,122.120129367,19534.920321,Social,40.7067097889,No,479.89435703,Yes,Female,After_16:00,0.304879096104,,0.613986041863,2.38921503769,2.07522757351,3.15169746522,3449.0,2.61425802018,438.299803002,5675.54317631,54092.6123213,No,230298.593909,20.935610882,70.4302857396,85.4665709194,1707.74293163,70.0,Below_30,4.0,678.772823875,7.0,Public_or_other,Industry_or_other,472.627130941,0.0,Yes
Browns,9.0,362.64998693,59165.2884011,Education,120.883328977,No,489.441256308,Yes,Female,After_16:00,0.562472053338,0.614287381759,0.21696216194,3.93370757811,2.95715737622,9.05457678018,9492.0,91.9197942829,459.800595362,5814.01375381,55890.88174,No,,21.442961441,51.8678966893,64.6402185084,14743.6625535,100.0,30-45,3.0,697.250156104,10.0,Foot_or_bicycle,Services_or_Retail,468.970989294,,No
Purples,4.0,852.693073395,118816.179984,Healthcare,284.231024465,No,,Yes,Female,After_16:00,0.943576936377,0.7195500948,5.7706508995,,6.66705921758,3.79041125067,8830.0,71.5383928968,439.584869306,5059.43754039,54331.0956234,No,174746.388946,20.9662793386,104.679854289,88.0077297334,81081.5062929,80.0,45_and_up,4.0,699.556252043,11.0,Foot_or_bicycle,Public_Sector,524.254383301,4.0,No
Reds,9.0,455.780071776,66574.8540262,Other,151.926690592,No,438.203805841,Yes,Female,After_16:00,0.59159724135,0.496588001493,6.24191700714,5.78367923154,8.21673145751,6.8808514229,7198.0,84.6294650808,374.435975343,5130.91000909,,Maybe,192022.575453,19.3503481969,140.201318176,99.8861804605,23243.6460048,50.0,30-45,5.0,626.590326701,11.0,Motorcycle_or_truck,Student_or_Unemployed,491.555136616,0.0,No
Browns,2.0,994.279939679,91661.7500414,Environment,331.42664656,No,276.56723137,Yes,Male,After_16:00,0.387350154575,0.642618994461,4.70780012663,3.79928155104,0.142959868535,6.14153839415,9152.0,47.6262629498,359.586802494,3484.84591869,41733.2948681,No,76489.4334679,18.9627741244,299.039590855,8.21409241762,110185.048696,90.0,30-45,2.0,530.952404845,8.0,Foot_or_bicycle,Student_or_Unemployed,359.335118926,1.0,No
Blues,9.0,1240.48745065,122643.649437,Healthcare,413.495816882,Yes,296.601910901,Yes,Male,After_16:00,0.224766055588,0.625903410371,2.5318869506,8.47778939642,8.50075001363,0.75717639178,3418.0,48.3106752392,624.938736949,4215.89658291,63538.2149915,Yes,87972.6935503,24.998774709,271.999417767,7.76246618479,171402.286396,80.0,30-45,3.0,776.906870654,10.0,Motorcycle_or_truck,Hightech,369.603632618,0.0,No
Browns,3.0,394.866398857,65989.1108155,Environment,131.622132952,No,501.352693011,No,Female,After_16:00,0.578430144582,0.543169329409,2.93032716727,0.54643527139,5.7426309702,3.68315974716,9585.0,13.427328784,493.63660147,6000.80013305,58792.1967044,No,251354.522789,22.2179342305,32.0467171012,74.4171761209,17466.0080159,90.0,30-45,2.0,728.718489006,9.0,Motorcycle_or_truck,Hightech,468.620556765,0.0,No
