,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
1816,Purples,2.0,666.444921432,83724.2472938,Education,222.148307144,No,376.884471325,Yes,Female,By_16:00,0.928605682217,0.039297419833,9.72963789711,3.14448761288,7.26931797573,2.24912204547,3347.0,73.331679171,436.423786242,4641.69228574,53853.545031,No,142041.904726,20.8907583932,145.653739499,95.7590606064,49582.0186741,100.0,,2.0,702.917813863,14.0,Car,Industry_or_other,544.895918225,2.0,No
9754,Browns,3.0,152.684435057,25248.4280215,Social,50.8948116858,No,496.090410499,Yes,Male,By_16:00,,0.356733049732,3.97928788094,5.77787711518,4.39509832999,8.0964366789,3102.0,51.92499205,417.622233865,5796.14857272,51888.4472796,No,246105.695389,20.4358076392,103.935532973,20.7168350928,2651.17666822,70.0,30-45,3.0,,6.0,Car,Public_Sector,436.744851823,0.0,No
1680,Browns,9.0,161.688930994,16638.8898754,Education,53.8963103312,No,308.720388708,Yes,Male,After_16:00,0.00981744634919,0.64298091596,0.305281595793,7.83853244968,,9.20589029323,7504.0,82.9281890532,381.82089706,3850.8456812,44317.9349274,No,95308.2784041,19.5402378967,259.414944533,2.82558705658,2968.70857765,100.0,Below_30,2.0,559.815553932,10.0,Motorcycle_or_truck,Services_or_Retail,,0.0,No
9888,Reds,3.0,220.721355595,31703.9563678,Foreign_Affairs,73.5737851983,No,430.913759328,Yes,Female,After_16:00,0.668945732061,0.297484404175,1.22456452111,1.25612524571,5.17744691344,5.92287283391,8201.0,19.6484618355,390.967119075,5091.07183143,49386.4272322,Maybe,185686.667978,19.7728884859,132.783550368,8.7616950972,5496.6756536,40.0,45_and_up,2.0,629.386213484,6.0,Motorcycle_or_truck,Public_Sector,468.848860768,1.0,No
7381,Whites,3.0,567.016277795,54653.6740641,Financial,189.005425932,No,289.164577126,Yes,Male,By_16:00,0.78058699891,0.654728972586,8.75392886112,1.53455930529,2.89018483832,6.06979150558,9076.0,44.2335989093,278.028050835,3447.70187293,38613.2039016,No,83616.1526646,16.674173168,306.148529665,10.8836572152,35922.0564575,60.0,Below_30,3.0,528.166964847,6.0,Public_or_other,Services_or_Retail,498.050522765,0.0,Yes
4310,Reds,2.0,68.1617407167,9585.98580162,Foreign_Affairs,22.7205802389,No,421.907614191,Yes,Female,By_16:00,0.96028116974,0.325753517449,0.859934880864,1.66927710641,8.92305473099,3.70424708119,8726.0,19.5544747636,377.946075228,4974.96829236,49035.6267789,Maybe,178006.034912,19.4408352503,145.0045409,40.5492661986,548.945346631,40.0,Below_30,4.0,635.114214329,9.0,Foot_or_bicycle,Student_or_Unemployed,505.54397041,0.0,Yes
6599,Whites,4.0,386.933950588,63920.1234642,Social,128.977983529,No,495.589415458,Yes,Male,By_16:00,0.24354543048,0.233339530416,1.50574334664,0.892150788568,1.90114396159,3.24442951474,4077.0,51.9763506018,462.279324843,5880.45280427,57264.6310595,No,245608.868714,21.5006819623,41.0315097956,83.7987809675,16774.2982188,70.0,45_and_up,0.0,723.376964541,8.0,Public_or_other,Services_or_Retail,515.533261274,,No
5125,Greys,1.0,372.772872654,62895.127436,Foreign_Affairs,124.257624218,No,506.167149355,No,Male,By_16:00,0.976436746772,0.352686761646,5.31124381116,4.35430062935,2.80849755043,3.41095920652,5256.0,72.8205399821,446.720748895,5955.11299134,53431.4356409,Maybe,256205.183086,21.1357694181,117.753219576,0.0883335014805,15574.2148005,40.0,Below_30,1.0,650.250914816,6.0,Car,Hightech,395.17105175,0.0,No
7000,Purples,4.0,285.078478999,39694.4315794,Healthcare,95.0261596663,No,417.721096157,Yes,,After_16:00,0.492598590441,0.645923016127,4.60538483225,7.3918130016,7.02929977793,3.31876388052,5465.0,36.7456173291,451.757021682,5080.72500493,54249.3163102,No,174490.914174,21.2545764879,97.7534089611,26.8635063665,9134.99718059,80.0,Below_30,3.0,687.646819152,13.0,Motorcycle_or_truck,Hightech,478.586780045,0.0,Yes
7092,Purples,3.0,103.440677065,14522.7824995,Financial,34.4802256884,No,421.191631134,Yes,Male,After_16:00,0.282033264171,0.968309401302,7.33231102116,5.05628488725,4.10851602443,1.13818065031,8604.0,69.7816799395,433.616457735,5079.14922681,53120.6029106,No,177402.390137,20.8234593124,103.521211762,9.06133870594,1233.36618921,60.0,30-45,2.0,677.396335131,12.0,Public_or_other,Hightech,490.044720112,0.0,No
9097,Pinks,6.0,353.823817313,34785.1109048,Environment,117.941272438,No,294.93586245,Yes,Female,By_16:00,0.0934188482352,0.72299996065,4.14572832175,1.27595135011,2.05521890428,3.32383005414,5508.0,93.6075356789,359.987321046,3669.33326659,45629.6589192,No,86987.1629592,18.9733318383,248.685600369,4.07060831785,14038.0850166,90.0,30-45,2.0,610.368339835,8.0,Motorcycle_or_truck,Public_Sector,513.772329296,0.0,Yes
3909,Purples,9.0,176.241384909,19194.8333127,Financial,58.747128303,No,326.736537891,Yes,Male,After_16:00,0.394325407455,0.56974797789,1.494328517,8.822898129,3.15221316647,2.45329798898,4637.0,94.1330497619,500.581678279,4268.52873546,58186.6421541,No,106756.765193,22.3736827161,,25.677028182,3519.97221215,60.0,30-45,2.0,756.796876145,11.0,Car,Services_or_Retail,547.19942381,0.0,No
6035,Browns,3.0,156.408212674,24030.7326423,Education,52.1360708914,No,460.923353666,Yes,Female,After_16:00,0.934645374538,0.74908812996,7.26776832948,2.81015934423,8.05305923568,8.50071828812,5588.0,77.922730078,423.919672898,5457.07288246,51442.8577033,No,,20.5893096751,116.11927151,47.7447176818,2780.30595889,100.0,30-45,0.0,638.350190086,9.0,Foot_or_bicycle,Public_Sector,421.460298222,1.0,No
1192,Purples,10.0,194.236465716,29987.8495464,Social,64.7454885722,No,463.165082351,Yes,Male,By_16:00,0.561953029362,0.610506834229,9.76884933421,4.09014713485,4.10530733643,0.139640397392,4022.0,47.1062057419,385.260311929,5402.17144737,49872.1430297,No,214521.893509,19.6280491116,121.320246083,71.6958364239,4266.72377902,70.0,30-45,2.0,636.040173218,9.0,Car,Student_or_Unemployed,485.978768493,2.0,Yes
9540,Pinks,8.0,630.277021733,141562.071144,Education,210.092340578,No,673.808815472,No,Male,After_16:00,0.109515938442,0.295098393923,1.92370599834,1.98804357322,7.69160126103,7.15247702319,8973.0,92.0892140362,629.096786148,7996.28172702,72003.6013542,No,454018.319808,25.081801892,223.533636054,83.7590983603,44358.88391,100.0,45_and_up,1.0,855.76600211,11.0,Motorcycle_or_truck,Services_or_Retail,444.396026059,7.0,No
5148,Oranges,8.0,219.117868561,30234.098205,Other,73.0392895202,No,413.942939527,Yes,Female,By_16:00,0.375509582227,0.0242125031073,3.69071240304,2.8973854566,4.829340789,3.22076680139,4099.0,87.9968493478,373.157610637,4885.74461655,45129.6141464,Maybe,171348.757184,19.3172878696,208.770435252,66.530301515,5417.77710313,50.0,30-45,1.0,556.366041863,,Car,Student_or_Unemployed,358.259796674,5.0,No
462,Greens,9.0,213.668953344,20153.2048063,Social,71.2229844479,No,282.959285722,Yes,Female,By_16:00,0.932631109143,0.348830317147,3.77518768422,3.28561196337,2.73672970012,9.34662816813,7892.0,22.3692932865,489.520137647,3808.63313251,58974.6083905,No,80065.9573761,22.1251019805,265.346946063,98.0795035837,5153.93649811,70.0,Below_30,2.0,795.009476833,10.0,Motorcycle_or_truck,Services_or_Retail,652.290848758,1.0,No
7465,Blues,8.0,1141.26975924,240698.460871,Education,380.423253081,Yes,632.712272244,No,Female,By_16:00,0.180884036934,0.398842279566,4.56639919197,9.36000712216,0.802655748557,4.23540572869,9558.0,79.7667180654,9.20508708889,6345.53289662,17071.8421759,Yes,400324.819448,3.0339886435,569.875030624,29.5888433,145112.274738,100.0,30-45,1.0,192.845513878,16.0,Public_or_other,Hightech,242.579416548,2.0,No
3149,Purples,2.0,315.48826831,43847.2679502,Financial,105.162756103,No,416.946736419,Yes,Male,By_16:00,0.0330204113852,0.061351981014,5.44049918419,4.70902670408,1.28343303455,2.99228420481,5519.0,17.8809912875,420.816891491,5011.10114718,52440.8837181,No,173844.581011,20.513821962,115.040093773,52.8265292523,11174.3680274,60.0,45_and_up,0.0,,12.0,Foot_or_bicycle,Services_or_Retail,508.149473033,0.0,Yes
9115,Greys,4.0,252.447405492,38317.0339085,Foreign_Affairs,84.149135164,No,455.346734507,Yes,Male,By_16:00,0.981501313159,0.27984829084,8.37104396662,7.48108268483,1.66594816837,8.98711163783,7722.0,55.0902224379,466.615796518,5486.69893811,55010.8223048,Maybe,207340.648626,21.6012915475,87.7774531244,3.83897644933,7175.22608401,40.0,45_and_up,1.0,681.590283725,8.0,Public_or_other,Services_or_Retail,432.202786815,0.0,No
1527,Reds,1.0,104.05094806,16871.4399655,Foreign_Affairs,34.6836493535,No,486.437854147,Yes,Female,After_16:00,0.694746220252,0.619855175028,1.61841680994,1.19390557054,6.2145052664,4.2398481234,8547.0,44.2279370967,448.220249679,5760.81904083,56547.1383015,Maybe,236621.785947,21.1712127588,66.8231587934,80.9949528193,1247.63918183,40.0,30-45,0.0,722.043636358,10.0,Foot_or_bicycle,Services_or_Retail,540.003252464,1.0,No
69,Browns,6.0,396.344012495,63212.0473996,Environment,132.114670832,No,478.463496912,Yes,Female,After_16:00,0.0472554946318,0.919706369052,2.14769468177,5.58961859206,6.41723088687,1.05291892076,7919.0,3.66611781064,465.778235634,5716.19144039,56496.4026007,No,228927.317878,21.5818960157,44.0114532734,50.6548875943,17596.4009198,90.0,45_and_up,4.0,708.356855294,9.0,Motorcycle_or_truck,Public_Sector,482.620187065,0.0,Yes
3624,Oranges,9.0,168.929638965,21193.4582912,Military,56.3098796549,No,376.371933683,Yes,Female,After_16:00,0.540868720505,0.799097230425,8.38393148268,7.36834398471,1.96518995566,3.11189317377,9222.0,20.9874324035,344.09895855,4451.91725394,44118.8853492,Maybe,141655.832465,18.5499045429,206.92991128,79.498685454,3237.1124264,30.0,Below_30,2.0,568.905512425,7.0,Motorcycle_or_truck,Hightech,443.158512722,1.0,Yes
1922,Browns,7.0,96.0681907765,11038.7294683,Education,32.0227302588,No,344.715437413,Yes,Male,By_16:00,0.336582930759,0.117609166075,3.35305619519,9.90260912571,1.35747199878,3.09927263996,6184.0,32.0090617286,397.268602341,4241.69157881,46804.3009635,No,118828.732791,19.931598088,212.11895752,23.5258261207,1067.47798349,100.0,30-45,4.0,591.201336721,9.0,Foot_or_bicycle,Hightech,398.376101745,1.0,No
4839,Browns,7.0,157.712861056,25754.8858028,Education,52.5709536855,No,489.907144482,Yes,Female,By_16:00,0.7690793972,0.81243177643,0.97897995729,3.33253548481,,,4655.0,72.9348185705,445.663620223,5790.39868527,54667.877315,No,240009.010215,21.1107465577,65.6180270074,77.7902956353,2826.27612508,100.0,Below_30,2.0,682.400282236,10.0,Car,Public_Sector,464.624619174,1.0,No
3886,Yellows,7.0,961.195222252,,Financial,320.398407417,Yes,91.92116534,Yes,Male,By_16:00,0.0907462751493,0.951333210804,0.217545724008,6.32782695116,4.95811754838,9.88188314019,5019.0,91.3365770364,576.855480862,2072.92261512,62629.2745169,Yes,8449.50063746,24.0178159053,441.046394545,24.4680937845,102985.537883,60.0,45_and_up,2.0,852.670228377,,Motorcycle_or_truck,Hightech,648.616358135,0.0,Yes
9529,Greens,3.0,287.097193008,24628.0890422,Environment,95.6990643359,No,257.349319067,Yes,Male,After_16:00,0.48760633287,0.574760997668,7.47598085552,4.275678962,0.628408538178,4.57546634134,9459.0,,518.130925849,3609.75504237,61130.2411034,No,66228.6720245,22.7624894475,294.235085003,63.1825831719,9264.00997911,90.0,45_and_up,2.0,824.766430634,14.0,Public_or_other,Student_or_Unemployed,665.427330927,2.0,No
8643,Pinks,6.0,678.328393993,71466.6905738,Education,226.109464664,No,316.071203299,Yes,Female,After_16:00,0.889906921424,0.0228152070194,8.93108688528,6.62564670201,1.7824418284,2.42922799196,4922.0,54.6826072503,358.970939204,3878.6539114,44506.8976816,No,99901.0055552,18.9465284209,,84.9418852245,51361.5994754,100.0,30-45,2.0,581.116011031,9.0,Car,Hightech,452.870090835,0.0,No
8837,Browns,1.0,542.939178269,56217.7364979,Financial,180.97972609,No,310.630023111,Yes,Female,After_16:00,0.229408471845,0.62356421724,9.40435600001,7.78297461336,7.90591993369,1.25697925221,7831.0,72.9122477351,379.197613836,3864.69545878,45045.9702609,No,96491.0112581,19.472997043,241.988643558,10.6423217105,32944.6409816,60.0,Below_30,2.0,577.328914788,5.0,Public_or_other,Hightech,409.976120049,0.0,Yes
3722,Greens,7.0,669.642648483,74204.461267,Social,223.214216161,No,332.436090063,Yes,Male,By_16:00,0.215916562825,0.201729020104,6.6041382635,6.16516799666,4.97133308789,2.0270708343,5871.0,68.2557081804,508.114574993,4340.59005061,62170.7546844,No,,22.5413969175,253.468743923,1.32750924677,50057.8005126,70.0,30-45,3.0,835.550534193,10.0,Public_or_other,Industry_or_other,690.007615387,0.0,No
6448,Purples,4.0,640.767126801,91654.2911999,Education,213.589042267,No,429.115137308,Yes,Female,By_16:00,0.301550153876,0.191690506181,7.82042979961,4.68231649604,7.18711392721,8.05559975794,9154.0,90.4446288943,477.596042467,5246.34345801,58899.8003487,No,184139.801067,21.8539708627,111.042376659,84.8050682573,45843.8680189,100.0,30-45,4.0,763.990552324,12.0,Car,Student_or_Unemployed,582.485200746,0.0,Yes
7128,Purples,2.0,226.458744941,33845.0969623,Environment,75.4862483136,No,,Yes,Female,After_16:00,0.164988065371,0.351550816325,4.88845783751,6.22791248374,6.56342788832,1.74063255545,8247.0,9.09191772807,446.408592694,5376.42813684,53920.2681064,No,201027.67164,21.1283835798,84.378566389,13.2118873997,5783.65993277,90.0,Below_30,,676.722148883,15.0,Car,Student_or_Unemployed,460.236611887,0.0,No
8785,Purples,5.0,249.549238475,40231.1372072,Financial,83.1830794918,No,483.645681946,Yes,Male,After_16:00,,0.515632853843,3.64011101192,0.95586188836,6.16706195287,7.96318238368,9240.0,4.96216572355,475.949905552,5788.35663056,56187.0695748,No,233913.145665,21.8162761614,75.8376376246,90.1266225381,7012.60779323,60.0,30-45,3.0,691.699929659,9.0,Public_or_other,Industry_or_other,429.960892935,1.0,No
467,Pinks,4.0,601.799531233,130327.170869,Financial,,No,649.687300032,No,Female,By_16:00,0.697786790784,0.697477372596,1.86946620233,6.14824805409,0.801534084603,6.911421041,5791.0,,608.155827653,7713.18465563,70145.0084388,No,422093.587823,24.6608156324,190.254049142,93.1957172696,40450.897154,60.0,45_and_up,0.0,839.436325456,5.0,Foot_or_bicycle,Student_or_Unemployed,454.254701129,0.0,No
181,Browns,7.0,146.202312276,15038.8862647,Healthcare,48.734104092,No,308.590596767,Yes,Female,After_16:00,0.756883045193,0.126358708134,8.08964756783,7.6682007499,1.49792125449,1.2676945026,4001.0,15.2602352668,374.955610212,3835.8171881,44509.8173882,No,95228.1564132,19.3637705577,248.388332471,14.8369131377,2433.74700574,80.0,45_and_up,1.0,569.782770305,8.0,Car,Industry_or_other,402.927322874,1.0,Yes
316,Blues,2.0,2203.72209656,510984.503028,Education,734.574032187,Yes,695.620156223,No,Female,By_16:00,0.727491880767,0.112554068444,5.32642059261,3.28251715284,7.91784895584,3.0968935485,7597.0,,500.060219662,7956.32200156,59041.9506967,Yes,483887.401744,22.362026287,270.243995029,78.4090869362,540343.582796,100.0,30-45,2.0,676.389919143,12.0,Foot_or_bicycle,Hightech,313.547411651,0.0,No
1525,Blues,7.0,1170.72347765,86174.6000282,Education,390.241159215,Yes,220.823964857,Yes,Female,After_16:00,0.76106377854,0.570373126538,2.28424379835,6.40123091871,0.802145812195,2.33313827775,9217.0,22.6708907168,297.824918803,2803.88948617,41996.305202,Yes,48763.2234551,17.2576046659,367.275382817,21.1106438888,152688.403505,100.0,45_and_up,1.0,603.522742869,13.0,Public_or_other,Services_or_Retail,626.795838922,2.0,No
5941,Purples,8.0,254.540649299,38407.3781862,Education,84.8468830996,No,452.666931101,Yes,Male,By_16:00,0.594636768568,,3.28379378188,0.948544321582,2.52993501956,5.22183030145,6015.0,14.8602996953,511.291755023,5549.25282105,62218.9749077,No,204907.350512,22.6117614312,104.241697316,95.4986160388,7293.84045482,100.0,45_and_up,1.0,801.522678657,14.0,Public_or_other,Student_or_Unemployed,592.186812052,0.0,No
596,Purples,4.0,541.059864682,75588.7880255,Social,180.353288227,No,419.115108842,Yes,Female,By_16:00,0.700595771894,0.58095673332,1.35501569137,5.22744240006,9.48856584029,5.62776399544,4209.0,74.5845307363,373.710769532,4938.57262749,49966.4389292,No,175657.47446,19.3316002838,162.592680193,67.070613429,32717.6618626,70.0,45_and_up,2.0,659.655997296,13.0,Foot_or_bicycle,Student_or_Unemployed,562.809587665,1.0,No
1285,Oranges,8.0,650.547274172,84802.0184735,Other,216.849091391,No,391.064670503,Yes,Male,After_16:00,0.0114851538092,0.019593922887,1.65693310089,8.78029073821,4.0355297178,8.22834216524,7105.0,15.935189533,464.523820984,4839.694347,51956.7797792,Maybe,152931.576516,21.5528146882,185.42084681,22.6084750379,47250.3775283,50.0,45_and_up,0.0,,10.0,Public_or_other,Student_or_Unemployed,354.207595734,0.0,No
8012,Greens,5.0,337.509912853,28550.2412847,Healthcare,112.503304284,No,253.772468874,Yes,Male,By_16:00,0.678939080564,0.299174668267,8.63298083423,8.6772887432,9.15200719377,2.67540060217,7156.0,88.3288493846,481.3978277,3500.52034414,57986.8900511,No,64400.4659583,21.9407800158,293.784665053,63.1141184829,12779.4967792,80.0,30-45,2.0,788.220767128,11.0,Public_or_other,Services_or_Retail,659.170950622,3.0,No
3645,Blues,6.0,1249.20697978,313987.679994,Healthcare,416.402326592,Yes,754.048812751,No,Female,After_16:00,0.916013014968,0.704727510223,5.48879682552,3.66718644043,2.69123952836,2.85356467124,4428.0,90.7087135129,592.596770228,8725.68166797,67937.8744949,Yes,568589.612011,24.3433105848,316.62217391,73.6474929377,173817.299918,80.0,Below_30,2.0,776.378997521,12.0,Public_or_other,Hightech,335.274046081,0.0,No
4463,Greens,5.0,439.848354337,35750.7200758,Social,146.616118112,No,243.838948515,Yes,Male,After_16:00,0.651560160331,0.532229114324,5.66613812931,6.10595356207,1.00853530923,5.13168695383,7363.0,45.9222909296,505.576257441,3449.54200003,59535.4522459,No,59457.4328127,22.4850229584,296.770200393,65.967934276,21652.9022085,70.0,30-45,1.0,804.27403798,11.0,Motorcycle_or_truck,Hightech,649.743022863,0.0,No
1750,Reds,10.0,344.499587817,41636.8415805,Other,114.833195939,No,362.5854113,Yes,Female,By_16:00,0.848394621862,,0.736683013383,7.86890391028,6.60286480794,8.85739692487,6713.0,39.3883741694,428.094590039,4482.04329308,51220.1153614,Maybe,131468.180488,20.6904468303,157.977286563,82.8494926216,13311.4960855,50.0,Below_30,1.0,656.513154038,9.0,Public_or_other,Services_or_Retail,469.938963746,0.0,Yes
339,Greens,2.0,480.946740437,46689.4812293,Environment,160.315580146,No,291.234833114,Yes,Female,By_16:00,0.587358352263,0.120704126079,5.6873236713,1.45196590805,8.31732455641,5.35939725116,4540.0,5.39933857508,494.305493846,3900.95931883,58786.2550624,No,84817.7280188,22.2329821177,241.534166721,10.4912072886,25871.4008176,90.0,30-45,3.0,784.668501508,15.0,Car,Industry_or_other,621.340147471,1.0,No
2870,Greys,1.0,220.056488503,30984.9806256,Foreign_Affairs,73.3521628343,No,422.414001555,Yes,Male,After_16:00,0.138897241326,0.684514112538,3.17065739771,8.92279427731,1.01829483872,9.0680940845,7250.0,76.2224338716,541.282243892,5306.70450333,60073.8633951,Maybe,178433.58871,23.2654732144,120.905975175,,5463.89195531,40.0,30-45,3.0,737.879025253,6.0,Car,Services_or_Retail,416.967211189,0.0,No
9584,Blues,5.0,1034.46399352,33528.8062837,Healthcare,344.821331175,Yes,97.2353020314,Yes,Female,By_16:00,0.309826182202,0.570684419246,5.04024044611,7.79878220288,4.5768303168,7.59639079217,8788.0,25.2622823697,196.469905366,1365.29283105,22050.2494644,Yes,9454.70396114,14.0167722877,585.050347342,33.985551144,119256.571764,80.0,Below_30,3.0,288.278116784,12.0,Public_or_other,Public_Sector,203.463343502,0.0,No
9821,Pinks,6.0,218.323738146,49645.3062101,Financial,72.7745793821,No,682.179225653,No,Male,By_16:00,0.129926130874,0.983104801737,8.7758393283,2.18767692801,8.12845407054,9.1837889934,7319.0,63.0694393767,647.065671686,8115.9235999,73971.5100837,No,465368.495912,25.4374855614,237.313287848,67.1632340876,5378.91398363,60.0,30-45,1.0,881.212016489,5.0,Foot_or_bicycle,Student_or_Unemployed,461.269978812,1.0,Yes
43,Purples,5.0,425.383494982,55541.8566956,Financial,141.794498327,No,391.706711832,Yes,Male,By_16:00,0.221847474342,0.573212016607,8.96814985434,5.48567868304,1.20402504457,0.434012073092,4089.0,64.6838471061,396.267924016,4709.60296635,49656.6051257,No,153434.148094,19.9064794481,150.220930351,4.44474876858,20257.4742542,60.0,Below_30,5.0,641.380435478,8.0,Foot_or_bicycle,Public_Sector,491.137265359,1.0,Yes
7811,Browns,4.0,,63056.2778283,Environment,201.604175124,No,312.77267839,Yes,Female,After_16:00,0.442947216099,0.207791699795,5.55655752076,4.33094067732,5.19910086412,5.75356470421,4255.0,97.3312676651,373.379990245,3874.48676439,44179.7618079,No,97826.7483473,19.3230429862,250.948249895,63.4070625529,40855.8476027,90.0,30-45,2.0,562.802455921,9.0,Motorcycle_or_truck,Student_or_Unemployed,390.966393723,0.0,No
3055,Yellows,3.0,926.244991446,79638.2986689,Financial,308.748330482,Yes,257.93920422,Yes,Male,After_16:00,0.921625904506,0.19625676889,2.01060627354,7.74861668935,3.76385183772,5.58592912741,7936.0,47.5435071625,702.904815403,3985.20167301,75369.1666928,Yes,66532.6330738,26.5123521288,346.05349194,15.4200429562,95644.2799059,60.0,Below_30,1.0,979.099884476,8.0,Foot_or_bicycle,Student_or_Unemployed,641.383260383,3.0,Yes
